what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.JavaPerspective,1216294369280
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1216294369290
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216294370572
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1216294371233
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1216294371243
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294371994
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294382519
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294383551
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294383741
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1216294396790
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1216294396900
started,bundle,org.eclipse.wst.ws.service.policy,1.0.0.v200805221441,org.eclipse.wst.ws.service.policy,1216294397901
started,bundle,org.eclipse.wst.command.env,1.0.305.v200805281530,org.eclipse.wst.command.env,1216294397921
started,bundle,org.eclipse.wst.ws,1.1.0.v200805140300,org.eclipse.wst.ws,1216294397931
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294398122
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294399373
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.properties,1216294399393
started,bundle,org.eclipse.wst.server.core,1.1.0.v20080530,org.eclipse.wst.server.core,1216294399934
started,bundle,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui,1216294399954
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1216294399994
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1216294400084
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294402838
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1216294404461
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1216294418371
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216294420614
