what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216373878018
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216373878228
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216373878348
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216373885979
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216373886180
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216373893030
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216373893250
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1216373893370
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216373900160
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216374470810
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216377480208
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216378080761
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216378435662
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216378437244
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216379860130
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216379861432
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216379864837
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216379865277
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216380729700
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216380730301
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216380733976
opened,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.TypeHierarchy,1216380735158
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.TypeHierarchy,1216380735188
opened,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1216380735749
activated,view,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit.ResultView,1216380735769
