what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214484606
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214486969
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214487099
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214489262
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214489923
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214490054
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214490374
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214490654
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214490775
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214492687
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214499637
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214803574
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214807109
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214827819
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214832306
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214832416
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214833247
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214833477
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217214833608
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217214835721
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214837293
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214846176
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1217214846827
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214848118
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214853316
