what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214855579
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214858984
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214865884
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.0.v200804302218,org.eclipse.wst.jsdt.manipulation,1217214867737
started,bundle,org.eclipse.wst.jsdt.core,1.0.0.v200805291857,org.eclipse.wst.jsdt.core,1217214867937
started,bundle,org.eclipse.wst.jsdt.ui,1.0.0.v200805282135,org.eclipse.wst.jsdt.ui,1217214868237
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214868908
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1217214869089
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214870611
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214880966
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214882288
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214884931
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214886634
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214892112
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214896508
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214900133
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217214901245
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215001960
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215003292
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215009851
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215011413
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215015429
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215016591
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215022459
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215025203
