what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1217215119899
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215122413
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215403207
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217215404518
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215407072
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215410297
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215411128
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215416786
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215418238
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215421743
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215422805
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215428563
started,bundle,org.eclipse.wst.sse.core,1.1.300.v200805221633,org.eclipse.wst.sse.core,1217215429254
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217215431227
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217216163580
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217216164842
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217216167365
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217216309540
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217218170776
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217218487472
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217218497105
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217218640662
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1217218642144
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1217218652198
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1217218653300
