what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.0.0.v20080619-1900,org.eclipse.mylyn.context.core,1216372184923
started,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1216372184923
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1216372184923
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1216372184953
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1216372184963
started,bundle,org.eclipse.pde.ui,3.4.0.v20080530,org.eclipse.pde.ui,1216372184974
started,bundle,org.eclipse.team.cvs.core,3.3.100.I20080605,org.eclipse.team.cvs.core,1216372184974
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1216372184994
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080522-2200,org.eclipse.ui.views.log,1216372184994
started,bundle,org.eclipse.wst.common.frameworks,1.1.200.v200805140020,org.eclipse.wst.common.frameworks,1216372184994
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.0.v200805140020,org.eclipse.wst.common.project.facet.core,1216372184994
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1216372184994
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.0.v200805151903,org.eclipse.jst.common.project.facet.core,1216372185124
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216372615282
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373760289
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1216373761380
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1216373768901
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373770523
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373773818
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373775591
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373788259
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373791984
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373795319
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373796731
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1216373806796
